award,rank,player,team,position,odds,have_headshot,team_pos_confidence
MVP,59,Travis Hunter,JAX,WR/CB,+12500,yes,check
MVP,60,Aaron Donald,LAR,DT,+50000,no,ok
MVP,61,Jared Verse,CLE,EDGE,+40000,no,ok
MVP,62,Aidan Hutchinson,DET,EDGE,+40000,no,ok
MVP,63,Nik Bonitto,DEN,EDGE,+40000,no,ok
MVP,64,Nick Bosa,SF,EDGE,+40000,no,ok
MVP,65,Travis Etienne Jr.,NO,RB,+40000,yes,ok
MVP,66,Maxx Crosby,LV,EDGE,+40000,no,ok
MVP,67,Jeffery Simmons,TEN,DT,+50000,no,ok
MVP,68,Micah Parsons,GB,EDGE,+20000,no,check
MVP,69,Omarion Hampton,LAC,RB,+30000,yes,check
MVP,70,Javonte Williams,DAL,RB,+40000,no,ok
MVP,71,Bucky Irving,TB,RB,+50000,yes,ok
MVP,72,Jalen Carter,PHI,DT,+50000,no,ok
MVP,73,Mike Evans,SF,WR,+50000,yes,ok
MVP,74,George Pickens,DAL,WR,+50000,yes,ok
MVP,75,Chris Olave,NO,WR,+50000,yes,ok
MVP,76,Cam Skattebo,NYG,RB,+50000,no,check
OPOY,1,Jahmyr Gibbs,DET,RB,+750,yes,ok
OPOY,2,Bijan Robinson,ATL,RB,+900,yes,ok
OPOY,3,Ja'Marr Chase,CIN,WR,+900,yes,ok
OPOY,4,Puka Nacua,LAR,WR,+1000,yes,ok
OPOY,5,Jonathan Taylor,IND,RB,+1800,yes,ok
OPOY,6,Jaxon Smith-Njigba,SEA,WR,+1000,yes,ok
OPOY,7,Justin Jefferson,MIN,WR,+1600,yes,ok
OPOY,8,Amon-Ra St. Brown,DET,WR,+1800,yes,ok
OPOY,9,Christian McCaffrey,SF,RB,+1000,yes,ok
OPOY,10,James Cook,BUF,RB,+1800,yes,ok
OPOY,11,Malik Nabers,NYG,WR,+2000,yes,check
OPOY,12,Derrick Henry,BAL,RB,+2200,yes,check
OPOY,13,CeeDee Lamb,DAL,WR,+1400,yes,ok
OPOY,14,Ashton Jeanty,LV,RB,+4000,yes,check
OPOY,15,Saquon Barkley,PHI,RB,+1400,yes,ok
OPOY,16,De'Von Achane,MIA,RB,+2500,yes,ok
OPOY,17,Jeremiyah Love,ARI,RB,+5500,no,ok
OPOY,18,Rashee Rice,KC,WR,+2500,no,ok
OPOY,19,Nico Collins,HOU,WR,+2800,yes,ok
OPOY,20,Brock Bowers,LV,TE,+8000,yes,ok
OPOY,21,Drake London,ATL,WR,+4500,yes,ok
OPOY,22,Trey McBride,ARI,TE,+8000,yes,ok
OPOY,23,Josh Allen,BUF,QB,+4500,yes,ok
OPOY,24,Lamar Jackson,BAL,QB,+6600,yes,ok
OPOY,25,Kenneth Walker III,KC,RB,+4500,yes,ok
OPOY,26,Cam Skattebo,NYG,RB,+7000,no,check
OPOY,27,Omarion Hampton,LAC,RB,+4500,yes,check
OPOY,28,Tetairoa McMillan,CAR,WR,+4500,no,check
OPOY,29,Davante Adams,LAR,WR,+10000,yes,ok
OPOY,30,Bucky Irving,TB,RB,+5000,yes,ok
OPOY,31,George Pickens,DAL,WR,+5000,yes,ok
OPOY,32,A.J. Brown,NE,WR,+6600,no,ok
OPOY,33,Terry McLaurin,WAS,WR,+7500,yes,ok
OPOY,34,Travis Etienne Jr.,NO,RB,+7500,yes,ok
OPOY,35,Chase Brown,CIN,RB,+10000,yes,ok
OPOY,36,Caleb Williams,CHI,QB,+7500,yes,ok
OPOY,37,Jayden Daniels,WAS,QB,+7500,yes,ok
OPOY,38,Joe Burrow,CIN,QB,+7500,yes,ok
OPOY,39,Justin Herbert,LAC,QB,+7500,yes,ok
OPOY,40,Patrick Mahomes,KC,QB,+7500,yes,ok
OPOY,41,Breece Hall,NYJ,RB,+8000,yes,ok
OPOY,42,Garrett Wilson,NYJ,WR,+8000,yes,ok
OPOY,43,Javonte Williams,DAL,RB,+8000,no,ok
OPOY,44,Kyren Williams,LAR,RB,+8000,yes,ok
OPOY,45,Brock Purdy,SF,QB,+10000,yes,ok
OPOY,46,Chris Olave,NO,WR,+10000,yes,ok
OPOY,47,Zay Flowers,BAL,WR,+10000,yes,ok
OPOY,48,Christian Watson,GB,WR,+10000,no,ok
OPOY,49,Colston Loveland,CHI,TE,+10000,no,check
OPOY,50,Dak Prescott,DAL,QB,+10000,yes,ok
OPOY,51,Daniel Jones,IND,QB,+10000,yes,ok
OPOY,52,DJ Moore,BUF,WR,+10000,no,ok
OPOY,53,Emeka Egbuka,TB,WR,+10000,no,check
OPOY,54,Jalen Hurts,PHI,QB,+10000,yes,ok
OPOY,55,Jaylen Waddle,DEN,WR,+10000,no,ok
OPOY,56,Marvin Harrison Jr.,ARI,WR,+10000,yes,ok
OPOY,57,Matthew Stafford,LAR,QB,+10000,yes,ok
OPOY,58,Mike Evans,SF,WR,+10000,yes,ok
OPOY,59,Rico Dowdle,PIT,RB,+10000,no,ok
OPOY,60,RJ Harvey,DEN,RB,+10000,no,check
OPOY,61,TreVeyon Henderson,NE,RB,+10000,yes,check
OPOY,62,Trevor Lawrence,JAX,QB,+10000,yes,ok
DPOY,1,Myles Garrett,LAR,EDGE,+425,no,check
DPOY,2,Will Anderson Jr.,HOU,EDGE,+750,no,ok
DPOY,3,Aidan Hutchinson,DET,EDGE,+850,no,ok
DPOY,4,Micah Parsons,GB,EDGE,+950,no,check
DPOY,5,Aaron Donald,LAR,DT,+4500,no,ok
DPOY,6,Jared Verse,CLE,EDGE,+1400,no,ok
DPOY,7,Nik Bonitto,DEN,EDGE,+1100,no,ok
DPOY,8,Danielle Hunter,HOU,EDGE,+2800,no,ok
DPOY,9,Nick Bosa,SF,EDGE,+1200,no,ok
DPOY,10,Fred Warner,SF,LB,+3300,no,ok
DPOY,11,Kyle Hamilton,BAL,S,+5000,no,ok
DPOY,12,Trey Hendrickson,BAL,EDGE,+3300,no,check
DPOY,13,Josh Hines-Allen,JAX,EDGE,+5000,no,ok
DPOY,14,Maxx Crosby,LV,EDGE,+800,no,ok
DPOY,15,Devon Witherspoon,SEA,CB,+7500,no,ok
DPOY,16,Brian Burns,NYG,EDGE,+1600,no,ok
DPOY,17,T.J. Watt,PIT,EDGE,+1900,no,ok
DPOY,18,Quinyon Mitchell,PHI,CB,+5000,no,ok
DPOY,19,Jalen Carter,PHI,DT,+2800,no,ok
DPOY,20,Carson Schwesinger,CLE,LB,+5000,no,check
DPOY,21,Laiatu Latu,IND,EDGE,+2800,no,ok
DPOY,22,Tuli Tuipulotu,LAC,EDGE,+3300,no,ok
DPOY,23,Chris Jones,KC,DT,+5000,no,ok
DPOY,24,Cooper DeJean,PHI,CB,+5000,no,ok
DPOY,25,Abdul Carter,NYG,EDGE,+6600,no,check
DPOY,26,Derwin James Jr.,LAC,S,+10000,no,ok
DPOY,27,Derek Stingley Jr.,HOU,CB,+6600,no,ok
DPOY,28,Patrick Surtain II,DEN,CB,+7500,no,ok
DPOY,29,Quinnen Williams,DAL,DT,+10000,no,ok
DPOY,30,Trent McDuffie,LAR,CB,+10000,no,ok
DPOY,31,Josh Sweat,ARI,EDGE,+5000,no,ok
DPOY,32,Montez Sweat,CHI,EDGE,+5000,no,ok
DPOY,33,Andrew Van Ginkel,MIN,LB,+6500,no,ok
DPOY,34,Nick Emmanwori,SEA,S,+6600,no,check
DPOY,35,Will McDonald IV,NYJ,EDGE,+6600,no,ok
DPOY,36,Bradley Chubb,BUF,EDGE,+7500,no,ok
DPOY,37,Byron Young,LAR,EDGE,+8000,no,ok
DPOY,38,Devin Lloyd,CAR,LB,+8000,no,ok
DPOY,39,George Karlaftis,KC,EDGE,+8000,no,ok
DPOY,40,Jaycee Horn,CAR,CB,+8000,no,ok
DPOY,41,Jeffery Simmons,TEN,DT,+8000,no,ok
DPOY,42,Kamari Lassiter,HOU,CB,+8000,no,check
DPOY,43,Leonard Williams,SEA,DT,+8000,no,ok
DPOY,44,Alex Highsmith,PIT,EDGE,+10000,no,ok
DPOY,45,Budda Baker,ARI,S,+10000,no,ok
DPOY,46,Rueben Bain Jr.,TB,EDGE,+10000,no,ok
DPOY,47,Chase Young,NO,EDGE,+10000,no,ok
DPOY,48,Greg Rousseau,BUF,EDGE,+10000,no,ok
DPOY,49,Jalon Walker,ATL,EDGE,+10000,no,check
DPOY,50,Kevin Byard III,CHI,S,+10000,no,ok
DPOY,51,Rashan Gary,DAL,EDGE,+10000,no,ok
DPOY,52,Talanoa Hufanga,DEN,S,+10000,no,ok
DPOY,53,Xavier McKinney,GB,S,+10000,no,ok
DPOY,54,Zach Allen,DEN,DT,+10000,no,ok
DPOY,55,Zack Baun,PHI,LB,+10000,no,check
