filename,player,team,position,awards,board_odds,search
travonwalker.webp,Travon Walker,JAX,EDGE,DPOY,+5000,https://www.google.com/search?q=Travon+Walker+JAX+headshot&tbm=isch
treyhendrickson.webp,Trey Hendrickson,CIN,EDGE,DPOY,+1800,https://www.google.com/search?q=Trey+Hendrickson+CIN+headshot&tbm=isch
willanderson.webp,Will Anderson Jr.,HOU,EDGE,DPOY,+1200,https://www.google.com/search?q=Will+Anderson+Jr.+HOU+headshot&tbm=isch
fredwarner.webp,Fred Warner,SF,LB,DPOY,+2200,https://www.google.com/search?q=Fred+Warner+SF+headshot&tbm=isch
roquansmith.webp,Roquan Smith,BAL,LB,DPOY,+2800,https://www.google.com/search?q=Roquan+Smith+BAL+headshot&tbm=isch
zackbaun.webp,Zack Baun,PHI,LB,DPOY,+2500,https://www.google.com/search?q=Zack+Baun+PHI+headshot&tbm=isch
russellwilson.webp,Russell Wilson,NYG,QB,MVP,+15000,https://www.google.com/search?q=Russell+Wilson+NYG+headshot&tbm=isch
brianbranch.webp,Brian Branch,DET,S,DPOY,+5000,https://www.google.com/search?q=Brian+Branch+DET+headshot&tbm=isch
buddabaker.webp,Budda Baker,ARI,S,DPOY,+15000,https://www.google.com/search?q=Budda+Baker+ARI+headshot&tbm=isch
kerbyjoseph.webp,Kerby Joseph,DET,S,DPOY,+4500,https://www.google.com/search?q=Kerby+Joseph+DET+headshot&tbm=isch
malakistarks.webp,Malaki Starks,BAL,S,DPOY,+12000,https://www.google.com/search?q=Malaki+Starks+BAL+headshot&tbm=isch
nickemmanwori.webp,Nick Emmanwori,SEA,S,DPOY,+12000,https://www.google.com/search?q=Nick+Emmanwori+SEA+headshot&tbm=isch
